Page,Block_ID,Feature_ID,Status,Tol_Callout,Feature_Type,Standard,Axis,MEAS,NOMINAL,+TOL,-TOL,DEV,OUTTOL,PASS_FAIL,Part_Name,Rev_Number,Ser_Number,Stats_Count,Date,Time,Technician,CMM_No,Work_Order,Serial_No
1,,,,,,,M,4.0935,4.0935,0.0315,0.0315,0.0,0.0,PASS,,,,,,,,,,
1,,,,,,,M,0.5,0.5,0.03,0.03,0.0,0.0,PASS,,,,,,,,,,
1,,,,,,,M,6.562,6.562,0.03,0.03,0.0,0.0,PASS,,,,,,,,,,
1,,,,,,,M,6.562,6.562,0.03,0.03,0.0,0.0,PASS,,,,,,,,,,
1,,,,,,,M,2.312,2.312,0.03,0.03,0.0,0.0,PASS,,,,,,,,,,
1,,,,,,,M,7.75,7.76,0.01,0.01,0.01,0.0,PASS,,,,,,,,,,
1,,,,,,,M,8.2,8.21,0.01,0.01,0.01,0.0,PASS,,,,,,,,,,
1,,,,,,,M,0.5,0.5,0.03,0.03,0.0,0.0,PASS,,,,,,,,,,
1,,,,,,,M,1.719,1.719,0.03,0.03,0.0,0.0,PASS,,,,,,,,,,
1,,,,,,,M,1.719,1.719,0.03,0.03,0.0,0.0,PASS,,,,,,,,,,
1,,,,,,,M,0.844,0.844,0.03,0.03,0.0,0.0,PASS,,,,,,,,,,
2,,,,,,,M,0.914,0.914,0.01,0.01,0.0,0.0,PASS,,,,,,,,,,
2,,,,,,,M,0.414,0.414,0.01,0.01,0.0,0.0,PASS,,,,,,,,,,
2,,,,,,,M,6.562,6.562,0.03,0.03,0.0,0.0,PASS,,,,,,,,,,
2,,,,,,,M,1.1435,1.106,0.01,0.01,0.0375,0.0275,FAIL,,,,,,,,,,
2,,,,,,,M,1.562,1.562,0.03,0.03,0.0,0.0,PASS,,,,,,,,,,
2,,,,,,,M,1.6435,1.606,0.01,0.01,0.0375,0.0275,FAIL,,,,,,,,,,
2,,,,,,,M,0.781,0.781,0.03,0.03,0.0,0.0,PASS,,,,,,,,,,
2,,,,,,,M,9.55,9.55,0.03,0.03,0.0,0.0,PASS,,,,,,,,,,
2,,,,,,,M,9.975,9.9375,0.0315,0.0315,0.0375,0.006,FAIL,,,,,,,,,,
2,,,,,,,M,6.562,6.562,0.03,0.03,0.0,0.0,PASS,,,,,,,,,,
2,,,,,,,M,0.21,0.21,0.03,0.03,0.0,0.0,PASS,,,,,,,,,,
2,,,,,,,M,2.312,2.312,0.03,0.03,0.0,0.0,PASS,,,,,,,,,,
3,,,,,,,M,2.765,2.781,0.031,0.031,0.016,0.0,PASS,,,,,,,,,,
3,,,,,,,M,0.625,0.625,0.01,0.01,0.0,0.0,PASS,,,,,,,,,,
3,B_41_45,,,0.14875 +0.00395/-0.00395 CIRCULAR ELEM,Size,DEFAULT,CYL_11,0.14875,0.14875,0.00395,0.00395,0.0,0.0,PASS,,,,,,,,,,
3,B_41_45,,,0.14875 +0.00395/-0.00395 CIRCULAR ELEM,Size,DEFAULT,CYL_12,0.14875,0.14875,0.00395,0.00395,0.0,0.0,PASS,,,,,,,,,,
3,B_46_48,,IN,0.0085,Size,DEFAULT,CYL_58,0.4075,0.4075,0.0085,0.0085,0.0,0.0,PASS,,,,,,,,,,
3,B_46_48,,IN,0.0085,Size,DEFAULT,CYL_59,0.4075,0.4075,0.0085,0.0085,0.0,0.0,PASS,,,,,,,,,,
3,B_46_48,,IN,0.01,Size,DEFAULT,M,0.85,0.85,0.01,0.01,0.0,0.0,PASS,,,,,,,,,,
3,B_46_48,,IN,0.01,Size,DEFAULT,M,0.85,0.85,0.01,0.01,0.0,0.0,PASS,,,,,,,,,,
5,B_95_97,,IN,0.0085,Size,DEFAULT,CYL_121,0.5955,0.5955,0.0085,0.0085,0.0,0.0,PASS,,,,,,,,,,
5,B_95_97,,IN,0.0085,Size,DEFAULT,CYL_49,0.5955,0.5955,0.0085,0.0085,0.0,0.0,PASS,,,,,,,,,,
5,B_101_103,,IN,0.0085,Size,DEFAULT,CYL_51,0.5955,0.5955,0.0085,0.0085,0.0,0.0,PASS,,,,,,,,,,
6,,,,,,,CYL_99,0.0875,0.0875,0.0035,0.0035,0.0,0.0,PASS,,,,,,,,,,
6,,,,,,,CYL_100,0.0875,0.0875,0.0035,0.0035,0.0,0.0,PASS,,,,,,,,,,
6,,,,,,,CYL_106,0.4855,0.4855,0.0085,0.0085,0.0,0.0,PASS,,,,,,,,,,
6,B_122_124,,,0.03,,DEFAULT,CYL_112,0.625,0.625,0.01,0.01,0.0,0.0,PASS,,,,,,,,,,
6,B_125_127,,,0.03,,DEFAULT,UAME,0.77,0.76,0.01,0.01,0.01,0.0,PASS,,,,,,,,,,
6,B_125_127,,,0.03,,DEFAULT,Local Size,0.77,0.76,0.01,0.01,0.01,0.0,PASS,,,,,,,,,,
9,,,,,,,CYL_97,0.69345,0.69345,0.00425,0.00425,0.0,0.0,PASS,,,,,,,,,,
9,,,,,,,CYL_95,0.69345,0.69345,0.00425,0.00425,0.0,0.0,PASS,,,,,,,,,,
9,,,,,,,CYL_93,0.69345,0.69345,0.00425,0.00425,0.0,0.0,PASS,,,,,,,,,,
9,B_305_307,,IN,0.0085,Size,DEFAULT,CIR_20,0.3695,0.3695,0.0085,0.0085,0.0,0.0,PASS,,,,,,,,,,
9,B_305_307,,IN,0.0085,Size,DEFAULT,CIR_21,0.3695,0.3695,0.0085,0.0085,0.0,0.0,PASS,,,,,,,,,,
10,B_308_1-CYL_88,B_308_1-CYL_88 - IN,,,,,UAME,0.69345,0.69345,0.00425,0.00425,0.0,0.0,PASS,,,,,,,,,,
10,B_308_1-CYL_88,B_308_1-CYL_88 - IN,,,,,Local Size,0.69345,0.69345,0.00425,0.00425,0.0,0.0,PASS,,,,,,,,,,
10,B_308_2-CYL_90,B_308_2-CYL_90 - IN,,,,,UAME,0.69345,0.69345,0.00425,0.00425,0.0,0.0,PASS,,,,,,,,,,
10,B_308_2-CYL_90,B_308_2-CYL_90 - IN,,,,,Local Size,0.69345,0.69345,0.00425,0.00425,0.0,0.0,PASS,,,,,,,,,,
10,B_308_3-CYL_92,B_308_3-CYL_92 - IN,,,,,UAME,0.69345,0.69345,0.00425,0.00425,0.0,0.0,PASS,,,,,,,,,,
10,B_308_3-CYL_92,B_308_3-CYL_92 - IN,,,,,Local Size,0.69345,0.69345,0.00425,0.00425,0.0,0.0,PASS,,,,,,,,,,
10,B_308_3-CYL_92,B_308_3-CYL_92 - IN,,,,,CYL_87,0.81035,0.81035,0.00485,0.00485,0.0,0.0,PASS,,,,,,,,,,
10,B_308_3-CYL_92,B_308_3-CYL_92 - IN,,,,,CYL_89,0.81035,0.81035,0.00485,0.00485,0.0,0.0,PASS,,,,,,,,,,
10,B_308_3-CYL_92,B_308_3-CYL_92 - IN,,,,,CYL_91,0.81035,0.81035,0.00485,0.00485,0.0,0.0,PASS,,,,,,,,,,
11,,,,,,,CYL_79,0.20045,0.20045,0.00365,0.00365,0.0,0.0,PASS,,,,,,,,,,
11,,,,,,,CYL_80,0.20045,0.20045,0.00365,0.00365,0.0,0.0,PASS,,,,,,,,,,
11,,,,,,,CYL_82,0.20045,0.20045,0.00365,0.00365,0.0,0.0,PASS,,,,,,,,,,
12,,,,,,,CYL_22,0.20045,0.20045,0.00365,0.00365,0.0,0.0,PASS,,,,,,,,,,
12,,,,,,,CYL_31,0.20045,0.20045,0.00365,0.00365,0.0,0.0,PASS,,,,,,,,,,
12,,,,,,,CYL_32,0.20045,0.20045,0.00365,0.00365,0.0,0.0,PASS,,,,,,,,,,
12,,,,,,,CYL_24,0.20045,0.20045,0.00365,0.00365,0.0,0.0,PASS,,,,,,,,,,
12,,,,,,,CYL_30,0.2055,0.2055,0.0075,0.0075,0.0,0.0,PASS,,,,,,,,,,
12,B_522_523,,IN,0.0085,Size,DEFAULT,CYL_66,0.3695,0.3695,0.0085,0.0085,0.0,0.0,PASS,,,,,,,,,,
12,B_522_523,,IN,0.01,Size,DEFAULT,DAT_G,0.4855,0.4855,0.0085,0.0085,0.0,0.0,PASS,,,,,,,,,,
13,B_533,,,4.5,,DEFAULT,CYL_23,0.2055,0.2055,0.0075,0.0075,0.0,0.0,PASS,,,,,,,,,,
13,B_533,,,4.5,,DEFAULT,CYL_29,0.2055,0.2055,0.0075,0.0075,0.0,0.0,PASS,,,,,,,,,,
13,B_534_536,,,0.030,,DEFAULT,CYL_17,0.20045,0.20045,0.00365,0.00365,0.0,0.0,PASS,,,,,,,,,,
13,B_534_536,,,0.030,,DEFAULT,CYL_26,0.20045,0.20045,0.00365,0.00365,0.0,0.0,PASS,,,,,,,,,,
13,B_534_536,,,0.030,,DEFAULT,CYL_15,0.20045,0.20045,0.00365,0.00365,0.0,0.0,PASS,,,,,,,,,,
15,,,,,,,CYL_33,0.20045,0.20045,0.00365,0.00365,0.0,0.0,PASS,,,,,,,,,,
15,,,,,,,CYL_41,0.20045,0.20045,0.00365,0.00365,0.0,0.0,PASS,,,,,,,,,,
15,,,,,,,CYL_42,0.20045,0.20045,0.00365,0.00365,0.0,0.0,PASS,,,,,,,,,,
15,,,,,,,CYL_35,0.20045,0.20045,0.00365,0.00365,0.0,0.0,PASS,,,,,,,,,,
15,B_541_543_2,,IN,0.0085,Size,DEFAULT,CYL_69,0.3695,0.3695,0.0085,0.0085,0.0,0.0,PASS,,,,,,,,,,
15,B_545_548_2,,IN,0.4855 +0.0085/-0.0085 CIRCULAR ELEMENTS,Size,DEFAULT,DAT_H2,0.4855,0.4855,0.0085,0.0085,0.0,0.0,PASS,,,,,,,,,,
15,B_545_,,IN,548.2,Size,DEFAULT,CYL_36,0.2055,0.2055,0.0075,0.0075,0.0,0.0,PASS,,,,,,,,,,
16,,,,,,,CYL_34,0.2055,0.2055,0.0075,0.0075,0.0,0.0,PASS,,,,,,,,,,
16,,,,,,,CYL_37,0.2055,0.2055,0.0075,0.0075,0.0,0.0,PASS,,,,,,,,,,
16,,,,,,,CYL_5,0.20045,0.20045,0.00365,0.00365,0.0,0.0,PASS,,,,,,,,,,
16,,,,,,,CYL_14,0.20045,0.20045,0.00365,0.00365,0.0,0.0,PASS,,,,,,,,,,
16,,,,,,,CYL_6,0.20045,0.20045,0.00365,0.00365,0.0,0.0,PASS,,,,,,,,,,
19,,,,,,,CYL_64,0.3695,0.3695,0.0085,0.0085,0.0,0.0,PASS,,,,,,,,,,
19,,,,,,,CYL_67,0.3695,0.3695,0.0085,0.0085,0.0,0.0,PASS,,,,,,,,,,
19,,,,,,,CYL_70,0.3695,0.3695,0.0085,0.0085,0.0,0.0,PASS,,,,,,,,,,
19,,,,,,,CYL_63,0.3695,0.3695,0.0085,0.0085,0.0,0.0,PASS,,,,,,,,,,
19,,,,,,,CYL_61,0.3695,0.3695,0.0085,0.0085,0.0,0.0,PASS,,,,,,,,,,
19,,,,,,,CYL_55,0.3695,0.3695,0.0085,0.0085,0.0,0.0,PASS,,,,,,,,,,
19,,,,,,,UAME,0.40745,0.40745,0.00125,0.00125,0.0,0.0,PASS,,,,,,,,,,
19,,,,,,,Local Size,0.40745,0.40745,0.00125,0.00125,0.0,0.0,PASS,,,,,,,,,,
19,B_625_2-CYL_75,B_625_2-CYL_75 - IN,,,,,UAME,0.40745,0.40745,0.00125,0.00125,0.0,0.0,PASS,,,,,,,,,,
19,B_625_2-CYL_75,B_625_2-CYL_75 - IN,,,,,Local Size,0.40745,0.40745,0.00125,0.00125,0.0,0.0,PASS,,,,,,,,,,
19,B_625_3-CYL_76,B_625_3-CYL_76 - IN,,,,,UAME,0.40745,0.40745,0.00125,0.00125,0.0,0.0,PASS,,,,,,,,,,
19,B_625_3-CYL_76,B_625_3-CYL_76 - IN,,,,,Local Size,0.40745,0.40745,0.00125,0.00125,0.0,0.0,PASS,,,,,,,,,,
22,B_156_158,,,0.03,,DEFAULT,CYL_233,0.39555,0.39555,0.00705,0.00705,0.0,0.0,PASS,,,,,,,,,,
22,B_156_158,,,0.03,,DEFAULT,CYL_234,0.39555,0.39555,0.00705,0.00705,0.0,0.0,PASS,,,,,,,,,,
22,B_170,,,0.02,,DEFAULT,CIR_254,0.75,0.75,0.02,0.02,0.0,0.0,PASS,,,,,,,,,,
22,B_172_174,,,2.0601,Size,DEFAULT,CYL_214,0.601,0.601,0.014,0.014,0.0,0.0,PASS,,,,,,,,,,
25,,,,,,,CYL_236,0.4075,0.4075,0.0085,0.0085,0.0,0.0,PASS,,,,,,,,,,
25,,,,,,,CYL_237,0.4075,0.4075,0.0085,0.0085,0.0,0.0,PASS,,,,,,,,,,
25,,,,,,,CYL_220,0.4235,0.4235,0.0085,0.0085,0.0,0.0,PASS,,,,,,,,,,
25,B_238_240,,,0.01,Size,DEFAULT,CYL_219,0.75,0.75,0.01,0.01,0.0,0.0,PASS,,,,,,,,,,
25,B_242_244,,,0.007,Size,DEFAULT,CIR_253,1.373,1.373,0.007,0.007,0.0,0.0,PASS,,,,,,,,,,
41,B_493_497_3,,,0.00578,Size,DEFAULT,CYL_252,0.26655,0.26655,0.00575,0.00575,0.0,0.0,PASS,,,,,,,,,,
41,B_493_497_3,,,0.00578,Size,DEFAULT,CYL_253,0.26655,0.26655,0.00575,0.00575,0.0,0.0,PASS,,,,,,,,,,
41,B_493_497_3,,,0.00578,Size,DEFAULT,CYL_254,0.26655,0.26655,0.00575,0.00575,0.0,0.0,PASS,,,,,,,,,,
41,B_493_497_3,,,0.00578,Size,DEFAULT,CYL_255,0.26655,0.26655,0.00575,0.00575,0.0,0.0,PASS,,,,,,,,,,
41,B_493_497_3,,,0.025,Size,DEFAULT,M,1.03,1.03,0.01,0.01,0.0,0.0,PASS,,,,,,,,,,
43,,,,,,,UAME,0.77,0.76,0.01,0.01,0.01,0.0,PASS,,,,,,,,,,
43,,,,,,,Local Size,0.77,0.76,0.01,0.01,0.01,0.0,PASS,,,,,,,,,,
43,,,,,,,UAME,0.77,0.76,0.01,0.01,0.01,0.0,PASS,,,,,,,,,,
43,,,,,,,Local Size,0.77,0.76,0.01,0.01,0.01,0.0,PASS,,,,,,,,,,
43,,,,,,,UAME,0.77,0.76,0.01,0.01,0.01,0.0,PASS,,,,,,,,,,
43,,,,,,,Local Size,0.77,0.76,0.01,0.01,0.01,0.0,PASS,,,,,,,,,,
43,,,,,,,M,0.13877,0.14,0.01,0.01,0.00123,0.0,PASS,,,,,,,,,,
43,,,,,,,M,0.13877,0.14,0.01,0.01,0.00123,0.0,PASS,,,,,,,,,,
43,,,,,,,M,0.13877,0.14,0.01,0.01,0.00123,0.0,PASS,,,,,,,,,,
